Term,Date,Description
SUMMER 23,2023-05-11,Summer A classes begin
SUMMER 23,2023-06-28,Summer A classes end
SUMMER 23,2023-07-10,Summer B classes begin
SUMMER 23,2023-08-27,Summer B classes end
FALL 23,2023-09-06,Fall A classes begin
FALL 23,2023-10-24,Fall A classes end
FALL 23,2023-10-30,Fall B classes begin
FALL 23,2023-12-17,Fall B classes end
SPRING 24,2024-01-17,Spring A classes begin
SPRING 24,2024-03-05,Spring A classes end
SPRING 24,2024-03-18,Spring B classes begin
SPRING 24,2024-05-05,Spring B classes end
SUMMER 24,2024-05-13,Summer A classes begin
SUMMER 24,2024-06-30,Summer A classes end
SUMMER 24,2024-07-08,Summer B classes begin
SUMMER 24,2024-08-25,Summer B classes end